iter	Accuracy	MultiClass
701	0.9967109967	0.1232509582
702	0.996996997	0.1226935916
703	0.9968539969	0.1224766938
704	0.9968539969	0.1221049403
705	0.9967109967	0.1218245353
706	0.9968539969	0.1217124938
707	0.9968539969	0.1214274414
708	0.9968539969	0.1212707699
709	0.9968539969	0.1211107225
710	0.9968539969	0.1208785914
711	0.9968539969	0.12068615
712	0.9968539969	0.1205479894
713	0.9968539969	0.1202674067
714	0.9968539969	0.1199926389
715	0.9968539969	0.1198523435
716	0.9968539969	0.1197041052
717	0.996996997	0.1194643093
718	0.996996997	0.1192383438
719	0.9971399971	0.1190769761
720	0.996996997	0.1189383868
721	0.996996997	0.1187740513
722	0.9971399971	0.1185006338
723	0.9971399971	0.1181656904
724	0.9971399971	0.1179732337
725	0.9971399971	0.1177149551
726	0.9971399971	0.1175606046
727	0.9971399971	0.1172950561
728	0.9971399971	0.1171133501
729	0.9971399971	0.1168398853
730	0.9971399971	0.1167863578
731	0.9971399971	0.116522287
732	0.9971399971	0.1164574639
733	0.9972829973	0.1162153778
734	0.9972829973	0.116121835
735	0.9972829973	0.1159554111
736	0.9972829973	0.1157016471
737	0.9972829973	0.1155516527
738	0.9972829973	0.1153800212
739	0.9972829973	0.1151989101
740	0.9972829973	0.1150518186
741	0.9972829973	0.1147769434
742	0.9972829973	0.1145998438
743	0.9972829973	0.1144479657
744	0.9972829973	0.1141851557
745	0.9972829973	0.1139713245
746	0.9972829973	0.113873362
747	0.9972829973	0.1137009311
748	0.9972829973	0.1135195891
749	0.9974259974	0.1134006639
750	0.9974259974	0.1131970315
751	0.9974259974	0.1129753032
752	0.9974259974	0.1128589181
753	0.9974259974	0.1126484201
754	0.9974259974	0.1123432701
755	0.9972829973	0.1122571549
756	0.9974259974	0.1120514836
757	0.9972829973	0.1118290009
758	0.9972829973	0.1116055232
759	0.9974259974	0.1114630402
760	0.9974259974	0.1113390325
761	0.9972829973	0.1111699957
762	0.9972829973	0.1109819204
763	0.9972829973	0.1107220883
764	0.9972829973	0.1104471905
765	0.9972829973	0.1102621442
766	0.9972829973	0.1101330112
767	0.9972829973	0.1099847454
768	0.9972829973	0.1098603621
769	0.9972829973	0.1096302759
770	0.9972829973	0.1093591029
771	0.9972829973	0.1093137651
772	0.9972829973	0.1091241279
773	0.9972829973	0.1087987355
774	0.9972829973	0.1085321791
775	0.9972829973	0.1084507983
776	0.9972829973	0.1083697809
777	0.9972829973	0.1081809524
778	0.9972829973	0.108076005
779	0.9972829973	0.1079310095
780	0.9974259974	0.1077007843
781	0.9974259974	0.1075411301
782	0.9972829973	0.1073530058
783	0.9972829973	0.107216483
784	0.9974259974	0.1070187744
785	0.9974259974	0.1067288973
786	0.9974259974	0.1064842684
787	0.9974259974	0.1064018957
